Rcuisine=Fast_Food,Rcuisine=Italian,Rcuisine=Mexican,Rcuisine=Cafeteria,Rcuisine=Burgers,Rcuisine=Chinese,Rcuisine=Seafood,Rcuisine=Contemporary,Rcuisine=Bar,Rcuisine=Bar_Pub_Brewery,Rcuisine=Japanese,Rcuisine=Pizzeria,Rcuisine=International,Rcuisine=Family,Rcuisine=Vietnamese,Rcuisine=Armenian,Rcuisine=Regional,Rcuisine=Cafe-Coffee_Shop,Rcuisine=American,Rcuisine=Bakery,Rcuisine=Game,Rcuisine=Breakfast-Brunch,Ralcohol=No_Alcohol_Served,Ralcohol=Wine-Beer,Ralcohol=Full_Bar,'Rsmoking_area=not permitted','Rsmoking_area=only at bar',Rsmoking_area=none,Rsmoking_area=section,Rsmoking_area=permitted,Rdress_code=informal,Rdress_code=formal,Rdress_code=casual,Raccessibility=no_accessibility,Raccessibility=partially,Raccessibility=completely,Rprice=medium,Rprice=low,Rprice=high,Rambience=quiet,Rfranchise=t,Rparking_lot=public,Rparking_lot=none,Rparking_lot=yes,'Rparking_lot=valet parking',Rother_services=none,Rother_services=Internet,Rother_services=variety,Csmoker=TRUE,'Cdrink_level=social drinker',Cdrink_level=abstemious,'Cdrink_level=casual drinker',Cdress_preference=elegant,Cdress_preference=informal,'Cdress_preference=no preference',Cdress_preference=formal,Cambience=family,Cambience=solitary,Cambience=friends,Ctransport=public,'Ctransport=on foot','Ctransport=car owner',Cinterest=technology,Cinterest=variety,Cinterest=none,Cinterest=eco-friendly,Cinterest=retro,Cpersonality=thrifty-protector,Cpersonality=hard-worker,Cpersonality=hunter-ostentatious,Cpersonality=conformist,Ccolor=blue,Ccolor=black,Ccolor=green,Ccolor=yellow,Ccolor=red,Ccolor=orange,Ccolor=purple,Ccolor=white,Cweight,Cbudget=medium,Cbudget=low,Cbudget=high,Cheight,rating
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,65,1,0,0,1.71,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,65,1,0,0,1.71,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,65,1,0,0,1.71,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,76,1,0,0,1.81,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,76,1,0,0,1.81,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,76,1,0,0,1.81,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,76,1,0,0,1.81,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,76,1,0,0,1.81,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,76,1,0,0,1.81,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,76,1,0,0,1.81,1
